context_id,context_label,mode,d,poly_dim,c,k0,lambda,gamma,queries,commit_mean_ms,prover_mean_ms,verifier_mean_ms,proof_size_kb,proof_size_bytes,status,error
field-prime64-ext,Field-Prime64 (ext-challenge),field,3,8,4,1,128,5.11702105512502897e-06,400,0.048,3.408,12.753,525.430,538040,ok,-
field-prime64-ext,Field-Prime64 (ext-challenge),field,4,16,4,1,128,4.98142614046585518e-06,417,0.108,4.740,18.803,808.469,827872,ok,-
field-prime64-ext,Field-Prime64 (ext-challenge),field,5,32,4,1,128,4.9016472197652955e-06,429,0.283,6.443,20.454,1140.164,1167528,ok,-
field-prime64-ext,Field-Prime64 (ext-challenge),field,6,64,4,1,128,5.00867570727734291e-06,439,0.608,8.830,27.807,1523.516,1560080,ok,-
field-prime64-ext,Field-Prime64 (ext-challenge),field,7,128,4,1,128,4.93826115439943238e-06,447,1.209,11.748,39.004,1956.461,2003416,ok,-
field-prime64-ext,Field-Prime64 (ext-challenge),field,8,256,4,1,128,4.99482138115929395e-06,455,2.623,16.531,56.856,2446.562,2505280,ok,-
field-prime64-ext,Field-Prime64 (ext-challenge),field,9,512,4,1,128,4.89249037770713415e-06,462,5.416,27.320,63.633,2989.602,3061352,ok,-
field-prime64-ext,Field-Prime64 (ext-challenge),field,10,1024,4,1,128,5.01219153925923391e-06,470,8.341,49.711,75.875,3599.578,3685968,ok,-
field-prime64-ext,Field-Prime64 (ext-challenge),field,11,2048,4,1,128,4.89603487550592961e-06,477,16.287,91.798,93.323,4264.430,4366776,ok,-
field-prime64-ext,Field-Prime64 (ext-challenge),field,12,4096,4,1,128,4.95541448177780667e-06,485,34.490,176.536,104.192,5002.906,5122976,ok,-
field-prime64-ext,Field-Prime64 (ext-challenge),field,13,8192,4,1,128,4.98833062528664843e-06,493,71.103,344.706,116.546,5809.602,5949032,ok,-
field-prime64-ext,Field-Prime64 (ext-challenge),field,14,16384,4,1,128,4.97879853033594731e-06,501,140.968,680.881,121.562,6686.766,6847248,ok,-
field-prime64-ext,Field-Prime64 (ext-challenge),field,15,32768,4,1,128,4.91161197784663264e-06,509,281.536,1302.736,158.131,7636.648,7819928,ok,-
field-prime64-ext,Field-Prime64 (ext-challenge),field,16,65536,4,1,128,4.82297790969597845e-06,517,635.701,2562.705,177.717,8661.500,8869376,ok,-
field-prime64-ext,Field-Prime64 (ext-challenge),field,17,131072,4,1,128,4.87800096165597357e-06,526,1143.205,5039.700,216.128,9782.164,10016936,ok,-
field-prime64-ext,Field-Prime64 (ext-challenge),field,18,262144,4,1,128,4.89526288135336545e-06,535,2262.625,10172.973,296.653,10986.172,11249840,ok,-
field-prime64-ext,Field-Prime64 (ext-challenge),field,19,524288,4,1,128,4.84207222750616701e-06,544,4738.495,21447.776,499.986,12276.055,12570680,ok,-
field-prime64-ext,Field-Prime64 (ext-challenge),field,20,1048576,4,1,128,4.75348894065244861e-06,553,9695.855,43337.452,789.514,13654.344,13982048,ok,-
field-prime64-ext,Field-Prime64 (ext-challenge),field,21,2097152,4,1,128,4.80759485447769517e-06,563,20730.823,88185.085,1725.596,15150.477,15514088,ok,-
