context_id,context_label,mode,d,poly_dim,c,k0,lambda,gamma,queries,commit_mean_ms,prover_mean_ms,verifier_mean_ms,proof_size_kb,proof_size_bytes,status,error
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,3,8,4,1,128,1e-09,358,1.758,57.054,145.064,1986.812,2034496,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,4,16,4,1,128,1e-09,369,4.599,98.649,204.008,2798.719,2865888,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,5,32,4,1,128,1e-09,377,7.756,152.967,257.452,3661.875,3749760,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,6,64,4,1,128,1e-09,383,15.321,282.009,307.760,4571.312,4681024,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,7,128,4,1,128,1e-09,388,35.402,522.052,363.701,5529.625,5662336,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,8,256,4,1,128,1e-09,393,81.068,1008.692,427.032,6547.906,6705056,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,9,512,4,1,128,1e-09,397,183.329,1974.882,478.950,7608.438,7791040,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,10,1024,4,1,128,1e-09,401,405.770,3920.211,539.176,8726.562,8936000,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,11,2048,4,1,128,1e-09,406,895.777,7866.935,604.528,9927.812,10166080,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,12,4096,4,1,128,1e-09,410,1896.668,15056.203,680.493,11167.281,11435296,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,13,8192,4,1,128,1e-09,415,3823.480,27649.339,728.992,12497.875,12797824,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,14,16384,4,1,128,1e-09,419,7816.370,50702.573,805.506,13863.562,14196288,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,15,32768,4,1,128,1e-09,424,15542.933,97289.527,867.638,15328.750,15696640,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,16,65536,4,1,128,1e-09,429,31924.392,190146.615,970.931,16864.781,17269536,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,17,131072,4,1,128,1e-09,433,65310.103,377830.648,1081.700,18430.562,18872896,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,18,262144,4,1,128,1e-09,438,133773.228,764396.467,1227.564,20109.156,20591776,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,19,524288,4,1,128,1e-09,443,280784.870,1536149.609,1591.746,21862.719,22387424,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,20,1048576,4,1,128,1e-09,448,596788.573,3125503.209,2433.088,23692.656,24261280,ok,-
