context_id,context_label,mode,d,poly_dim,c,k0,lambda,gamma,queries,commit_mean_ms,prover_mean_ms,verifier_mean_ms,proof_size_kb,proof_size_bytes,status,error
field-prime128-ext,Field-Prime128 (ext-challenge),field,3,8,4,1,128,1e-09,358,0.046,2.925,12.689,495.578,507472,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,4,16,4,1,128,1e-09,369,0.115,4.022,16.499,750.188,768192,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,5,32,4,1,128,1e-09,377,0.301,5.387,23.101,1046.367,1071480,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,6,64,4,1,128,1e-09,383,0.541,7.247,33.971,1383.297,1416496,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,7,128,4,1,128,1e-09,388,1.357,10.242,37.743,1762.188,1804480,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,8,256,4,1,128,1e-09,393,2.756,15.146,45.477,2187.219,2239712,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,9,512,4,1,128,1e-09,397,6.136,25.391,48.377,2653.117,2716792,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,10,1024,4,1,128,1e-09,402,8.556,43.478,57.917,3173.438,3249600,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,11,2048,4,1,128,1e-09,406,17.299,81.503,76.267,3734.828,3824464,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,12,4096,4,1,128,1e-09,410,36.484,153.368,105.593,4345.094,4449376,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,13,8192,4,1,128,1e-09,415,75.500,306.351,108.826,5017.445,5137864,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,14,16384,4,1,128,1e-09,419,153.597,600.383,117.041,5730.422,5867952,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,15,32768,4,1,128,1e-09,424,302.679,1239.841,140.605,6511.094,6667360,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,16,65536,4,1,128,1e-09,429,615.868,2355.749,156.824,7348.781,7525152,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,17,131072,4,1,128,1e-09,434,1216.629,4658.006,177.600,8244.891,8442768,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,18,262144,4,1,128,1e-09,438,2474.516,9383.653,229.526,9179.875,9400192,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,19,524288,4,1,128,1e-09,443,4987.241,20010.712,493.227,10194.992,10439672,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,20,1048576,4,1,128,1e-09,448,9999.745,39778.614,781.187,11272.656,11543200,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,21,2097152,4,1,128,1e-09,453,20725.116,77321.071,1432.921,12414.273,12712216,ok,-
